id,marke,modell,variante,kategorie,preis_chf,reichweite_wltp,batterie_kwh,verbrauch_kwh,leistung_kw,leistung_ps,drehmoment_nm,antrieb,null_hundert,vmax,ladeleistung_ac,ladeleistung_dc,ladezeit_dc,kofferraum_l,sitze,gewicht_kg,laenge_mm,breite_mm,hoehe_mm,radstand_mm,garantie_batterie,baujahr,bild_url,verfuegbar
1,Tesla,Model 3,Standard Range,Limousine,42990,513,60,14.2,208,283,420,Hinterrad,6.1,225,11,170,25,561,5,1765,4720,1849,1441,2875,8 Jahre / 160000 km,2024,tesla-model-3.jpg,ja
2,Tesla,Model 3,Long Range,Limousine,52990,678,82,14.9,324,441,493,Allrad,4.4,233,11,250,22,561,5,1830,4720,1849,1441,2875,8 Jahre / 192000 km,2024,tesla-model-3.jpg,ja
3,Tesla,Model 3,Performance,Limousine,58990,547,82,16.5,377,513,660,Allrad,3.1,261,11,250,22,561,5,1830,4720,1849,1441,2875,8 Jahre / 192000 km,2024,tesla-model-3.jpg,ja
4,Tesla,Model Y,Standard Range,SUV,46990,455,60,15.7,220,299,420,Hinterrad,6.9,217,11,170,27,854,5,1909,4751,1921,1624,2890,8 Jahre / 160000 km,2024,tesla-model-y.jpg,ja
5,Tesla,Model Y,Long Range,SUV,56990,533,82,16.9,378,514,493,Allrad,5.0,217,11,250,24,854,5,2003,4751,1921,1624,2890,8 Jahre / 192000 km,2024,tesla-model-y.jpg,ja
6,Tesla,Model Y,Performance,SUV,62990,514,82,17.1,393,534,660,Allrad,3.7,250,11,250,24,854,5,2003,4751,1921,1624,2890,8 Jahre / 192000 km,2024,tesla-model-y.jpg,ja
7,Tesla,Model S,Dual Motor,Limousine,99990,634,100,18.1,493,670,755,Allrad,3.2,250,11,250,25,793,5,2162,4970,1964,1445,2960,8 Jahre / 240000 km,2024,tesla-model-s.jpg,ja
8,Tesla,Model S,Plaid,Limousine,119990,600,100,18.5,760,1034,1420,Allrad,2.1,322,11,250,25,793,5,2162,4970,1964,1445,2960,8 Jahre / 240000 km,2024,tesla-model-s.jpg,ja
9,Tesla,Model X,Dual Motor,SUV,109990,576,100,19.3,493,670,755,Allrad,3.9,250,11,250,26,1050,7,2455,5057,1999,1680,2965,8 Jahre / 240000 km,2024,tesla-model-x.jpg,ja
10,Tesla,Model X,Plaid,SUV,129990,543,100,20.2,760,1034,1420,Allrad,2.6,262,11,250,26,1050,7,2455,5057,1999,1680,2965,8 Jahre / 240000 km,2024,tesla-model-x.jpg,ja
11,BMW,iX1,eDrive20,SUV,56900,440,64.7,17.3,150,204,250,Vorderrad,8.6,170,11,130,29,490,5,1950,4500,1845,1616,2692,8 Jahre / 160000 km,2024,bmw-ix1.jpg,ja
12,BMW,iX1,xDrive30,SUV,62500,439,64.7,17.6,230,313,494,Allrad,5.6,180,11,130,29,490,5,2030,4500,1845,1616,2692,8 Jahre / 160000 km,2024,bmw-ix1.jpg,ja
13,BMW,iX3,eDrive,SUV,72900,461,80,18.9,210,286,400,Hinterrad,6.8,180,11,150,31,510,5,2185,4734,1891,1668,2864,8 Jahre / 160000 km,2024,bmw-ix3.jpg,ja
14,BMW,i4,eDrive35,Limousine,59900,483,66,16.1,210,286,400,Hinterrad,6.0,190,11,180,31,470,5,2050,4783,1852,1448,2856,8 Jahre / 160000 km,2024,bmw-i4.jpg,ja
15,BMW,i4,eDrive40,Limousine,69900,590,83.9,16.1,250,340,430,Hinterrad,5.7,190,11,200,31,470,5,2125,4783,1852,1448,2856,8 Jahre / 160000 km,2024,bmw-i4.jpg,ja
16,BMW,i4,M50,Limousine,84900,521,83.9,18.1,400,544,795,Allrad,3.9,225,11,200,31,470,5,2215,4783,1852,1448,2856,8 Jahre / 160000 km,2024,bmw-i4.jpg,ja
17,BMW,i5,eDrive40,Limousine,79900,497,81.2,18.2,250,340,400,Hinterrad,6.0,193,11,205,30,490,5,2160,5060,1900,1515,2995,8 Jahre / 160000 km,2024,bmw-i5.jpg,ja
18,BMW,i5,M60,Limousine,109900,455,81.2,19.6,442,601,820,Allrad,3.8,230,11,205,30,490,5,2305,5060,1900,1515,2995,8 Jahre / 160000 km,2024,bmw-i5.jpg,ja
19,BMW,i7,eDrive50,Limousine,129900,590,101.7,19.6,335,455,550,Hinterrad,5.5,240,11,195,34,500,5,2510,5391,1950,1544,3215,8 Jahre / 160000 km,2024,bmw-i7.jpg,ja
20,BMW,i7,xDrive60,Limousine,149900,590,101.7,19.6,400,544,745,Allrad,4.7,240,11,195,34,500,5,2640,5391,1950,1544,3215,8 Jahre / 160000 km,2024,bmw-i7.jpg,ja
21,BMW,iX,xDrive40,SUV,89900,425,71,19.4,240,326,630,Allrad,6.1,200,11,150,31,500,5,2440,4953,1967,1696,3000,8 Jahre / 160000 km,2024,bmw-ix.jpg,ja
22,BMW,iX,xDrive50,SUV,109900,626,111.5,19.8,385,523,765,Allrad,4.6,200,11,200,35,500,5,2510,4953,1967,1696,3000,8 Jahre / 160000 km,2024,bmw-ix.jpg,ja
23,BMW,iX,M60,SUV,139900,566,111.5,21.9,455,619,1100,Allrad,3.8,250,11,200,35,500,5,2635,4953,1967,1696,3000,8 Jahre / 160000 km,2024,bmw-ix.jpg,ja
24,Mercedes,EQA,250,SUV,54900,478,70.5,17.7,140,190,385,Vorderrad,8.6,160,11,100,32,340,5,2040,4463,1834,1620,2729,8 Jahre / 160000 km,2024,mercedes-eqa.jpg,ja
25,Mercedes,EQA,250+,SUV,58900,560,70.5,15.7,140,190,385,Vorderrad,8.6,160,11,100,32,340,5,2040,4463,1834,1620,2729,8 Jahre / 160000 km,2024,mercedes-eqa.jpg,ja
26,Mercedes,EQA,350 4MATIC,SUV,62900,432,70.5,18.8,215,292,520,Allrad,6.0,160,11,100,32,340,5,2185,4463,1834,1620,2729,8 Jahre / 160000 km,2024,mercedes-eqa.jpg,ja
27,Mercedes,EQB,250+,SUV,59900,535,70.5,16.4,140,190,385,Vorderrad,9.2,160,11,100,32,495,7,2175,4684,1834,1701,2829,8 Jahre / 160000 km,2024,mercedes-eqb.jpg,ja
28,Mercedes,EQB,350 4MATIC,SUV,64900,423,70.5,19.2,215,292,520,Allrad,6.2,160,11,100,32,495,7,2285,4684,1834,1701,2829,8 Jahre / 160000 km,2024,mercedes-eqb.jpg,ja
29,Mercedes,EQC,400 4MATIC,SUV,79900,432,80,21.5,300,408,760,Allrad,5.1,180,11,110,40,500,5,2495,4762,1884,1624,2873,8 Jahre / 160000 km,2024,mercedes-eqc.jpg,ja
30,Mercedes,EQE,300,Limousine,79900,639,90.6,16.5,180,245,565,Hinterrad,7.3,210,11,170,32,430,5,2355,4946,1906,1512,3120,8 Jahre / 160000 km,2024,mercedes-eqe.jpg,ja
31,Mercedes,EQE,350+,Limousine,89900,654,90.6,16.1,215,292,565,Hinterrad,6.4,210,11,170,32,430,5,2355,4946,1906,1512,3120,8 Jahre / 160000 km,2024,mercedes-eqe.jpg,ja
32,Mercedes,EQE,43 AMG,Limousine,109900,533,90.6,19.5,350,476,858,Allrad,4.2,210,11,170,32,430,5,2525,4946,1906,1512,3120,8 Jahre / 160000 km,2024,mercedes-eqe.jpg,ja
33,Mercedes,EQS,450+,Limousine,119900,782,108.4,15.7,265,360,568,Hinterrad,6.2,210,11,200,31,610,5,2480,5216,1926,1512,3210,8 Jahre / 160000 km,2024,mercedes-eqs.jpg,ja
34,Mercedes,EQS,580 4MATIC,Limousine,149900,676,108.4,18.4,385,523,828,Allrad,4.3,210,11,200,31,610,5,2585,5216,1926,1512,3210,8 Jahre / 160000 km,2024,mercedes-eqs.jpg,ja
35,VW,ID.3,Pure,Kompakt,39990,343,58,16.9,125,170,310,Hinterrad,9.0,160,11,120,30,385,5,1805,4261,1809,1552,2771,8 Jahre / 160000 km,2024,vw-id3.jpg,ja
36,VW,ID.3,Pro,Kompakt,44990,426,77,15.8,150,204,310,Hinterrad,7.9,160,11,170,29,385,5,1860,4261,1809,1552,2771,8 Jahre / 160000 km,2024,vw-id3.jpg,ja
37,VW,ID.3,Pro S,Kompakt,49990,553,77,15.5,150,204,310,Hinterrad,7.9,160,11,170,29,385,5,1860,4261,1809,1552,2771,8 Jahre / 160000 km,2024,vw-id3.jpg,ja
38,VW,ID.4,Pure,SUV,47990,361,52,16.3,125,170,310,Hinterrad,9.0,160,11,135,28,543,5,1995,4584,1852,1640,2771,8 Jahre / 160000 km,2024,vw-id4.jpg,ja
39,VW,ID.4,Pro,SUV,53990,514,77,16.3,150,204,310,Hinterrad,8.5,160,11,175,29,543,5,2054,4584,1852,1640,2771,8 Jahre / 160000 km,2024,vw-id4.jpg,ja
40,VW,ID.4,GTX,SUV,59990,488,77,17.9,220,299,460,Allrad,6.3,180,11,175,29,543,5,2174,4584,1852,1640,2771,8 Jahre / 160000 km,2024,vw-id4.jpg,ja
41,VW,ID.5,Pro,SUV,55990,520,77,16.3,150,204,310,Hinterrad,8.4,160,11,175,29,549,5,2054,4599,1852,1615,2771,8 Jahre / 160000 km,2024,vw-id5.jpg,ja
42,VW,ID.5,GTX,SUV,61990,496,77,17.9,220,299,460,Allrad,6.3,180,11,175,29,549,5,2174,4599,1852,1615,2771,8 Jahre / 160000 km,2024,vw-id5.jpg,ja
43,VW,ID.7,Pro,Limousine,62990,615,77,14.1,210,286,545,Hinterrad,6.5,180,11,175,28,532,5,2150,4961,1862,1536,2971,8 Jahre / 160000 km,2024,vw-id7.jpg,ja
