monat,jahr,total,bev,bev_anteil,phev,phev_anteil,hev,hev_anteil,ice,ice_anteil
01,2024,21456,3200,14.9,1850,8.6,3200,14.9,13206,61.6
02,2024,22134,3650,16.5,1920,8.7,3350,15.1,13214,59.7
03,2024,24567,4100,16.7,2100,8.5,3580,14.6,14787,60.2
04,2024,23890,4300,18.0,2200,9.2,3620,15.2,13770,57.6
05,2024,25123,4800,19.1,2350,9.4,3750,14.9,14223,56.6
06,2024,26789,5200,19.4,2480,9.3,3890,14.5,15219,56.8
07,2024,25456,4900,19.2,2380,9.4,3780,14.9,14396,56.5
08,2024,26234,5100,19.4,2450,9.3,3850,14.7,14834,56.6
09,2024,27456,5600,20.4,2520,9.2,3920,14.3,15416,56.1
10,2024,28123,5800,20.6,2580,9.2,3980,14.2,15765,56.0
11,2024,29345,6200,21.1,2650,9.0,4050,13.8,16445,56.1
12,2024,30567,6800,22.3,2720,8.9,4120,13.5,16927,55.3
